doi	source	length	note
10.3760/cma.j.cn113903-20230928-00241	-	0	NoAbstractAll
10.31083/j.ceog5008172	Crossref	1301	OK
10.11855/j.issn.0577-7402.2022.08.0802	-	0	NoAbstractAll
10.3760/cma.j.cn115624-20220512-00355	-	0	NoAbstractAll
